GeneID	Symbol	Description	log2(fold change)(cancer primaire vs controle)	-log10(Pvalue)(cancer primaire vs controle)	log2(fold change)(controle vs metastase)	-log10(Pvalue)(controle vs metastase)
338442	HCAR2	hydroxycarboxylic acid receptor 2	2.355	3.999	-2.702	5.727
8843	HCAR3	hydroxycarboxylic acid receptor 3	2.687	4.414	-3.01	6.052
27198	HCAR1	hydroxycarboxylic acid receptor 1	1.891	2.64	-2.421	4.573
105370070	LINC02441	long intergenic non-protein coding RNA 2441	-1.466	2.306	2.313	5.762
100190940	LINC02418	long intergenic non-protein coding RNA 2418	5.276	10.868	-5.799	14.494
11211	FZD10	frizzled class receptor 10	1.826	2.015	-2.969	5.308
221150	SKA3	spindle and kinetochore associated complex subunit 3	1.938	6.178	-2.067	7.708
107987187	LOC107987187	uncharacterized LOC107987187	-2.45	4.942	2.064	4.073
646405	TPTE2P1	TPTE2 pseudogene 1	-1.192	2.531	1.653	4.898
387914	SHISA2	shisa family member 2	2.426	6.329	-1.284	2.191
26771	SNORD102	small nucleolar RNA, C/D box 102	1.409	2.807	-1.499	3.474
619499	SNORA27	small nucleolar RNA, H/ACA box 27	1.336	2.327	-1.667	3.823
2971	GTF3A	general transcription factor IIIA	1.636	5.31	-1.916	7.9
51082	POLR1D	RNA polymerase I and III subunit D	1.316	3.515	-1.537	5.188
100861550	PLUT	PDX1 associated lncRNA, upregulator of transcription	4.735	6.798	-4.722	7.46
3651	PDX1	pancreatic and duodenal homeobox 1	3.821	10.241	-3.728	10.792
105370135	LOC105370135	uncharacterized LOC105370135	1.58	2.592	-1.891	3.96
6541	SLC7A1	solute carrier family 7 member 1	1.294	6.023	-1.282	6.552
10808	HSPH1	heat shock protein family H (Hsp110) member 1	1.443	5.962	-1.677	8.728
675	BRCA2	BRCA2 DNA repair associated	1.613	6.718	-1.572	7.073
112268116	LOC112268116		1.298	2.935	-1.216	2.869
5983	RFC3	replication factor C subunit 3	1.718	8.125	-1.832	10.157
26960	NBEA	neurobeachin	-1.53	3.444	1.616	4.228
10631	POSTN	periostin	1.2	2.792	-1.476	4.496
341640	FREM2	FRAS1 related extracellular matrix 2	1.977	3.017	-2.518	5.197
400128	TUSC8	tumor suppressor candidate 8	1.478	2.402	-1.935	4.299
26747	NUFIP1	nuclear FMR1 interacting protein 1	1.265	8.052	-1.42	11.134
2963	GTF2F2	general transcription factor IIF subunit 2	1.082	6.259	-1.093	7.051
80183	RUBCNL	rubicon like autophagy enhancer	1.482	3.597	-1.587	4.536
220107	DLEU7	deleted in lymphocytic leukemia 7	1.336	5.171	-1.841	10.574
107984567	LOC107984567	LINE-1 retrotransposable element ORF2 protein-like	1.985	7.15	-2.452	11.828
341676	NEK5	NIMA related kinase 5	1.445	6.155	-1.709	9.325
26586	CKAP2	cytoskeleton associated protein 2	1.496	6.376	-1.549	7.52
27253	PCDH17	protocadherin 17	1.659	7.347	-1.763	9.098
81624	DIAPH3	diaphanous related formin 3	1.7	5.254	-1.886	7.075
1602	DACH1	dachshund family transcription factor 1	1.75	4.009	-1.689	4.183
440145	MZT1	mitotic spindle organizing protein 1	1.341	7.637	-1.349	8.546
100507612	LINC00402	long intergenic non-protein coding RNA 402	-2.203	3.647	1.847	2.99
7347	UCHL3	ubiquitin C-terminal hydrolase L3	1.034	5.071	-1.021	5.494
101927155	LMO7-AS1	LMO7 antisense RNA 1	1.05	3.842	-1.068	4.396
407975	MIR17HG	miR-17-92a-1 cluster host gene	1.655	3.976	-1.812	5.216
2841	GPR18	G protein-coupled receptor 18	-1.291	4.103	1.185	3.891
102725509	LINC01232	long intergenic non-protein coding RNA 1232	1.173	4.818	-1.178	5.375
105370337	LOC105370337	uncharacterized LOC105370337	1.247	3.809	-1.753	8.086
93081	TEX30	testis expressed 30	1.128	5.005	-1.742	12.649
79070	POGLUT2	protein O-glucosyltransferase 2	1.182	6.838	-1.086	6.422
1282	COL4A1	collagen type IV alpha 1 chain	2.102	7.199	-2.093	7.895
1284	COL4A2	collagen type IV alpha 2 chain	1.307	3.102	-1.422	4.013
100129836	COL4A2-AS2	COL4A2 antisense RNA 2	1.421	3.626	-1.548	4.706
283487	PRECSIT	p53 regulated carcinoma associated Stat3 activating long intergenic non-protein coding transcript	2.502	11.004	-1.904	7.197
102725228	LOC102725228	uncharacterized LOC102725228	1.016	2.075	-1.428	4.219
23250	ATP11A	ATPase phospholipid transporting 11A	1.76	11.014	-1.985	15.461
348013	TMEM255B	transmembrane protein 255B	1.429	5.228	-1.305	4.904
105377806	LOC105377806		1.695	3.577	-2.508	8.234
503638	DUXAP9	double homeobox A pseudogene 9	3.903	8.127	-4.261	10.64
503639	DUXAP10	double homeobox A pseudogene 10	3.992	8.134	-4.345	10.592
6036	RNASE2	ribonuclease A family member 2	1.228	2.703	-1.433	3.956
643382	TMEM253	transmembrane protein 253	-1.221	2.691	2.217	8.83
28664	TRAV19	T cell receptor alpha variable 19	-1.16	2.164	1.286	2.815
28518	TRDV1	T cell receptor delta variable 1	-1.653	2.195	2.399	4.548
28526	TRDC	T cell receptor delta constant	-1.3	2.101	1.268	2.212
84962	AJUBA	ajuba LIM protein	2.22	10.14	-3.087	21.763
84502	JPH4	junctophilin 4	-1.238	2.122	1.875	4.812
3002	GZMB	granzyme B	1.564	2.819	-1.877	4.347
5083	PAX9	paired box 9	1.998	3.326	-1.756	2.917
105370485	LOC105370485	uncharacterized LOC105370485	-1.441	2.009	2.291	5.033
1033	CDKN3	cyclin dependent kinase inhibitor 3	1.132	3.129	-1.317	4.577
9787	DLGAP5	DLG associated protein 5	1.047	3.077	-1.014	3.23
2100	ESR2	estrogen receptor 2	-1.375	5.648	1.985	11.885
57452	GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	-1.358	2.494	1.224	2.292
8110	DPF3	double PHD fingers 3	-1.391	3.42	1.945	6.986
957	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive)	-1.252	2.978	1.28	3.447
4053	LTBP2	latent transforming growth factor beta binding protein 2	1.117	3.35	-1.702	8.075
5228	PGF	placental growth factor	1.409	3.331	-1.606	4.695
107984690	LOC107984690	uncharacterized LOC107984690	1.378	2.813	-1.753	4.824
102724153	FLVCR2-AS1	FLVCR2 antisense RNA 1	-1.563	4.129	1.682	5.23
7043	TGFB3	transforming growth factor beta 3	1.032	2.007	-1.362	3.612
145501	ISM2	isthmin 2	5.289	8.193	-6.38	13.092
78990	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2	1.321	3.764	-1.339	4.287
8115	TCL1A	TCL1 family AKT coactivator A	-1.859	2.271	2.287	3.598
105370672	LOC105370672	uncharacterized LOC105370672	2.646	4.217	-2.509	4.25
107984698	LOC107984698		2.193	4.173	-2.004	3.915
105370676	LINC02320	long intergenic non-protein coding RNA 2320	2.254	4.721	-1.935	3.955
1152	CKB	creatine kinase B	-1.663	3.162	1.963	4.75
3714	JAG2	jagged canonical Notch ligand 2	1.426	5.368	-1.539	6.86
102466889	MIR8071-2	microRNA 8071-2	-1.832	3.501	1.795	3.714
105378187	LOC105378187		-1.498	3.377	1.809	5.187
3500	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)	1.684	2.254	-2.251	4.18
105378184	LOC105378184	uncharacterized LOC105378184	-1.512	3.065	1.789	4.561
100616422	MIR4537	microRNA 4537	-1.549	2.735	2.492	6.758
28475	IGHJ6	immunoglobulin heavy joining 6	-1.675	2.206	2.318	4.347
28478	IGHJ3P	immunoglobulin heavy joining 3P (pseudogene)	-1.872	2.951	3.33	9.218
28476	IGHJ5	immunoglobulin heavy joining 5	-1.525	2.454	2.269	5.551
28477	IGHJ4	immunoglobulin heavy joining 4	-1.548	2.587	2.294	5.826
28479	IGHJ3	immunoglobulin heavy joining 3	-1.643	2.46	2.762	6.976
28483	IGHJ1	immunoglobulin heavy joining 1	-1.585	2.058	2.358	4.605
9834	FAM30A	family with sequence similarity 30 member A	-1.871	4.215	2.284	6.74
28452	IGHV3-7	immunoglobulin heavy variable 3-7	-1.606	3.055	2.416	7.161
28449	IGHV3-13	immunoglobulin heavy variable 3-13	-1.71	2.116	2	3.074
28447	IGHV3-16	immunoglobulin heavy variable 3-16 (non-functional)	-2.156	2.308	3.524	6.164
28428	IGHV3-41	immunoglobulin heavy variable 3-41 (pseudogene)	-1.85	2.365	2.997	6.219
28423	IGHV3-49	immunoglobulin heavy variable 3-49	-1.648	2.67	2.522	6.393
28392	IGHV4-59	immunoglobulin heavy variable 4-59	-1.578	2.53	2.362	5.792
28414	IGHV3-64	immunoglobulin heavy variable 3-64	-1.581	2.175	2.025	3.713
28412	IGHV3-66	immunoglobulin heavy variable 3-66	-1.502	2.063	2.831	7.129
28408	IGHV3-74	immunoglobulin heavy variable 3-74	-1.536	2.032	1.903	3.269
102724760	LOC102724760	immunoglobulin heavy variable 1/OR15-1 pseudogene	-1.747	3.708	2.077	5.605
388077	IGHV1OR15-1	immunoglobulin heavy variable 1/OR15-1 (non-functional)	-1.778	3.77	2.128	5.776
161725	OTUD7A	OTU deubiquitinase 7A	-1.162	3.588	1.305	4.903
701	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	1.219	4.084	-1.167	4.193
644844	PHGR1	proline, histidine and glycine rich 1	-1.567	2.852	2.564	7.784
85455	DISP2	dispatched RND transporter family member 2	-1.494	3.853	2.382	10.141
3706	ITPKA	inositol-trisphosphate 3-kinase A	-1.198	2.747	2.166	8.972
4058	LTK	leukocyte receptor tyrosine kinase	-1.357	2.669	2.335	7.926
7301	TYRO3	TYRO3 protein tyrosine kinase	1.335	3.487	-1.554	5.116
51332	SPTBN5	spectrin beta, non-erythrocytic 5	1.451	3.427	-2.052	7.202
123745	PLA2G4E	phospholipase A2 group IVE	1.992	5.021	-1.812	4.635
80031	SEMA6D	semaphorin 6D	-1.487	2.733	2.684	8.902
84888	SPPL2A	signal peptide peptidase like 2A	-1.045	6.186	1.199	8.838
388121	TNFAIP8L3	TNF alpha induced protein 8 like 3	-1.045	2.315	1.702	6.118
342035	GLDN	gliomedin	-2.117	2.629	2.84	4.923
161582	DNAAF4	dynein axonemal assembly factor 4	1.51	4.723	-1.232	3.565
145741	C2CD4A	C2 calcium dependent domain containing 4A	2.82	6.183	-2.766	6.604
771	CA12	carbonic anhydrase 12	-1.45	2.768	2.2	6.547
102723344	LINC02568	long intergenic non-protein coding RNA 2568	-1.708	2.446	2.298	4.574
123264	SLC51B	solute carrier family 51 subunit beta	-1.713	3.096	3.16	10.58
22801	ITGA11	integrin subunit alpha 11	1.822	7.265	-1.061	2.994
10391	CORO2B	coronin 2B	-1.188	2.503	1.041	2.19
54852	PAQR5	progestin and adipoQ receptor family member 5	-1.235	3.374	1.648	6.359
9493	KIF23	kinesin family member 23	1.159	3.944	-1.294	5.372
64220	STRA6	signaling receptor and transporter of retinol STRA6	3.989	9.485	-4.083	10.976
646892	SH2D7	SH2 domain containing 7	-2.09	2.072	2.394	2.89
597	BCL2A1	BCL2 related protein A1	1.416	2.995	-1.89	5.632
57214	CEMIP	cell migration inducing hyaluronidase 1	3.747	14.568	-4.583	24.035
3603	IL16	interleukin 16	-1.172	5.989	1.036	5.279
4828	NMB	neuromedin B	1.271	4.915	-1.209	4.961
5151	PDE8A	phosphodiesterase 8A	-1.003	6.815	1.069	8.464
145864	HAPLN3	hyaluronan and proteoglycan link protein 3	1.561	4.829	-1.572	5.436
254559	MIR9-3HG	MIR9-3 host gene	-1.267	3.221	1.148	2.995
90381	TICRR	TOPBP1 interacting checkpoint and replication regulator	1.256	4.327	-1.465	6.387
55897	MESP1	mesoderm posterior bHLH transcription factor 1	-1.204	2.39	1.812	5.45
124093	CCDC78	coiled-coil domain containing 78	1.771	5.402	-1.4	3.885
84264	HAGHL	hydroxyacylglutathione hydrolase like	1.75	6.31	-1.45	4.921
899	CCNF	cyclin F	1.17	4.311	-1.328	6.043
105371050	LOC105371050	uncharacterized LOC105371050	1.1	3.821	-1.236	5.257
80178	TEDC2	tubulin epsilon and delta complex 2	1.4	5.106	-1.455	6.074
260429	PRSS33	serine protease 33	3.491	6.45	-3.877	8.669
64063	PRSS22	serine protease 22	2.494	4.909	-2.532	5.607
79412	KREMEN2	kringle containing transmembrane protein 2	1.348	2.567	-1.284	2.595
124222	PAQR4	progestin and adipoQ receptor family member 4	1.512	6.31	-1.707	8.75
9088	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	1.63	5.03	-1.936	7.676
9080	CLDN9	claudin 9	1.777	3.375	-2.531	7.236
51330	TNFRSF12A	TNF receptor superfamily member 12A	2.56	13.285	-3.204	23.067
105371058	LOC105371058		1.446	2.353	-1.958	4.475
197350	CASP16P	caspase 16, pseudogene	-1.417	2.872	1.987	5.689
7023	TFAP4	transcription factor AP-4	1.165	5.597	-1.226	6.819
2903	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	-1.801	3.507	2.005	4.66
608	TNFRSF17	TNF receptor superfamily member 17	-1.889	2.809	3.46	9.352
5347	PLK1	polo like kinase 1	1.122	3.281	-1.268	4.552
63928	CHP2	calcineurin like EF-hand protein 2	-1.94	2.458	2.95	5.791
5579	PRKCB	protein kinase C beta	-1.132	2.727	1.061	2.691
115584	SLC5A11	solute carrier family 5 member 11	-2.82	5.284	2.764	5.626
343	AQP8	aquaporin 8	-2.773	2.806	3.934	5.869
388228	SBK1	SH3 domain binding kinase 1	1.568	3.602	-1.466	3.551
6799	SULT1A2	sulfotransferase family 1A member 2	-2.021	4.707	1.712	3.872
930	CD19	CD19 molecule	-1.564	3.99	2.265	8.689
107984832	LOC107984832		1.733	5.084	-1.833	6.245
105371168	LOC105371168	uncharacterized LOC105371168	-1.211	3.15	1.713	6.318
283897	C16orf54	chromosome 16 open reading frame 54	-1.426	4.259	1.088	2.912
112476	PRRT2	proline rich transmembrane protein 2	-1.002	2.291	1.773	7.069
253982	ASPHD1	aspartate beta-hydroxylase domain containing 1	1.686	7.143	-1.719	8.177
79153	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	-1.146	2.891	1.817	7.421
1731	SEPTIN1	septin 1	-1.113	4.321	1.055	4.355
79801	SHCBP1	SHC binding and spindle associated 1	1.397	5.123	-1.41	5.785
23594	ORC6	origin recognition complex subunit 6	1.708	6.779	-1.981	9.87
85407	NKD1	NKD inhibitor of WNT signaling pathway 1	2.028	2.658	-3.228	6.851
23322	RPGRIP1L	RPGRIP1 like	1.214	7.75	-1.189	8.238
79191	IRX3	iroquois homeobox 3	1.734	3.713	-2.743	9.864
643911	CRNDE	colorectal neoplasia differentially expressed	1.908	2.365	-2.82	5.293
4504	MT3	metallothionein 3	-1.537	2.152	1.72	2.858
222487	ADGRG3	adhesion G protein-coupled receptor G3	1.027	4.499	-1.021	4.948
3801	KIFC3	kinesin family member C3	1.124	3.172	-1.832	8.654
1258	CNGB1	cyclic nucleotide gated channel subunit beta 1	-2.251	4.174	3.512	9.562
29070	CCDC113	coiled-coil domain containing 113	1.546	7.737	-1.704	10.305
221191	PRSS54	serine protease 54	1.526	6.111	-1.624	7.574
100505865	LINC00920	long intergenic non-protein coding RNA 920	1.375	4.263	-1.434	5.104
766	CA7	carbonic anhydrase 7	-3.904	7.265	3.851	7.83
23491	CES3	carboxylesterase 3	-1.456	3.306	1.914	6.054
25894	PLEKHG4	pleckstrin homology and RhoGEF domain containing G4	1.153	3.147	-1.476	5.477
55282	LRRC36	leucine rich repeat containing 36	2.114	4.72	-2.143	5.381
3291	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	-1.313	2.403	2.409	7.995
64180	DPEP3	dipeptidase 3	-1.945	2.979	1.642	2.468
1001	CDH3	cadherin 3	3.99	11.095	-4.097	12.928
84916	UTP4	UTP4 small subunit processome component	1.032	9.761	-1.288	16.776
23035	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	-1.748	7.04	1.943	9.455
197257	LDHD	lactate dehydrogenase D	-1.547	2.919	1.225	2.148
114780	PKD1L2	polycystin 1 like 2 (gene/pseudogene)	-1.709	2.874	2.477	6.069
51659	GINS2	GINS complex subunit 2	1.032	3.325	-1.341	5.965
404550	C16orf74	chromosome 16 open reading frame 74	-1.187	2.775	1.481	4.484
8140	SLC7A5	solute carrier family 7 member 5	2.391	8.595	-2.83	13.218
84627	ZNF469	zinc finger protein 469	2.312	10.903	-1.825	7.67
81620	CDT1	chromatin licensing and DNA replication factor 1	1.1	3.307	-1.371	5.495
27132	CPNE7	copine 7	3.611	8.279	-3.87	10.469
1800	DPEP1	dipeptidase 1	2.918	2.95	-3.36	4.227
10381	TUBB3	tubulin beta 3 class III	1.59	2.773	-2.005	4.669
79007	DBNDD1	dysbindin domain containing 1	1.789	6.315	-2.214	10.409
83547	RILP	Rab interacting lysosomal protein	-1.152	4.494	1.145	4.938
727910	TLCD2	TLC domain containing 2	-1.032	3.147	1.838	10.102
84981	MIR22HG	MIR22 host gene	-1.097	3.685	1.285	5.462
101928991	CCDC92B	coiled-coil domain containing 92B	-1.257	2.204	1.719	4.166
84690	SPATA22	spermatogenesis associated 22	-2.156	4.807	2.294	5.864
162514	TRPV3	transient receptor potential cation channel subfamily V member 3	-2.1	3.834	2.465	5.709
5023	P2RX1	purinergic receptor P2X 1	-1.253	3.104	2.316	10.611
23140	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1	-1.075	6.186	1.509	13.071
124976	SPNS2	SPNS lysolipid transporter 2, sphingosine-1-phosphate	1.31	5.256	-1.298	5.735
342527	SMTNL2	smoothelin like 2	2.477	4.096	-2.201	3.67
23302	WSCD1	WSC domain containing 1	-1.792	3.994	2.816	10.236
482	ATP1B2	ATPase Na+/K+ transporting subunit beta 2	-1.439	4.43	1.115	3.122
146754	DNAH2	dynein axonemal heavy chain 2	1.652	4.63	-2.236	9.058
9423	NTN1	netrin 1	-1.29	2.266	1.814	4.597
100289255	TMEM238L	transmembrane protein 238 like	-1.085	2.283	1.784	6.173
9912	ARHGAP44	Rho GTPase activating protein 44	-1.349	2.855	2.072	6.916
96597	TBC1D27P	TBC1 domain family member 27, pseudogene	-2.027	3.785	3.396	10.305
23495	TNFRSF13B	TNF receptor superfamily member 13B	-2.357	5.348	3.575	12.805
7732	RNF112	ring finger protein 112	-1.148	2.271	2.065	7.179
440416	CCDC144NL-AS1	CCDC144NL antisense RNA 1	1.722	5.202	-2.052	8.043
27346	TMEM97	transmembrane protein 97	1.333	6.54	-1.629	10.522
124930	ANKRD13B	ankyrin repeat domain 13B	1.464	3.686	-1.396	3.756
91608	RASL10B	RAS like family 10 member B	2.728	6.131	-3.146	8.862
6352	CCL5	C-C motif chemokine ligand 5	-1.477	4.714	1.115	3.153
6368	CCL23	C-C motif chemokine ligand 23	-1.778	4.375	1.652	4.25
79154	DHRS11	dehydrogenase/reductase 11	-1.577	4.672	2.498	12.317
107985031	LOC107985031	uncharacterized LOC107985031	-1.101	3.366	1.521	6.617
11072	DUSP14	dual specificity phosphatase 14	1.61	6.752	-1.906	10.225
100170841	EPOP	elongin BC and polycomb repressive complex 2 associated protein	2.857	11.849	-3.402	18.535
22806	IKZF3	IKAROS family zinc finger 3	-1.165	3.183	1.02	2.794
284110	GSDMA	gasdermin A	1.074	2.012	-1.863	6.002
990	CDC6	cell division cycle 6	1.554	7.143	-1.611	8.432
7153	TOP2A	DNA topoisomerase II alpha	1.223	3.565	-1.31	4.491
84951	TNS4	tensin 4	2.33	4.681	-3.085	8.76
3859	KRT12	keratin 12	-1.674	2.623	1.911	3.628
54474	KRT20	keratin 20	-1.768	3.345	2.419	6.597
25984	KRT23	keratin 23	3.742	5.028	-4.87	9.101
107985072	LOC107985072	uncharacterized LOC107985072	3.166	4.699	-4.298	9.237
3872	KRT17	keratin 17	5.311	12.509	-6.14	18.393
60681	FKBP10	FKBP prolyl isomerase 10	1.889	7.667	-1.546	5.864
23415	KCNH4	potassium voltage-gated channel subfamily H member 4	1.503	3.375	-2.434	9.335
672	BRCA1	BRCA1 DNA repair associated	1.106	4.71	-1.077	4.984
2118	ETV4	ETS variant transcription factor 4	4.182	21.619	-4.332	25.097
78995	HROB	homologous recombination factor with OB-fold	1.167	4.753	-1.459	7.995
146909	KIF18B	kinesin family member 18B	1.152	3.312	-1.491	5.895
113026	PLCD3	phospholipase C delta 3	-1.247	3.773	1.829	8.495
3218	HOXB8	homeobox B8	1.919	4.055	-1.883	4.355
1277	COL1A1	collagen type I alpha 1 chain	3.04	12.088	-2.276	7.65
80221	ACSF2	acyl-CoA synthetase family member 2	-1.291	5.094	1.286	5.613
1101	CHAD	chondroadherin	-1.355	2.544	1.218	2.33
55018	ANKRD40CL	ANKRD40 C-terminal like	-1.054	2.525	1.521	5.402
4830	NME1	NME/NM23 nucleoside diphosphate kinase 1	1.216	7.373	-1.378	10.318
54894	RNF43	ring finger protein 43	1.356	3.377	-1.582	4.972
974	CD79B	CD79b molecule	-1.356	3.545	1.755	6.293
100507002	LOC100507002	uncharacterized LOC100507002	-1.303	6.45	1.561	9.727
8787	RGS9	regulator of G protein signaling 9	-1.127	2.151	1.815	5.503
8313	AXIN2	axin 2	1.097	2.292	-1.421	4.014
3838	KPNA2	karyopherin subunit alpha 2	1.168	5.125	-1.337	7.302
23461	ABCA5	ATP binding cassette subfamily A member 5	-1.136	3.466	1.587	7.116
6662	SOX9	SRY-box transcription factor 9	1.232	4.579	-1.384	6.3
124602	KIF19	kinesin family member 19	-1.161	2.364	1.942	6.539
342510	CD300E	CD300e molecule	1.687	3.192	-2.234	5.929
92736	OTOP2	otopetrin 2	-4.597	7.282	6.243	14.448
347741	OTOP3	otopetrin 3	-4.99	4.143	3.317	2.271
30850	CDR2L	cerebellar degeneration related protein 2 like	1.125	3.331	-1.077	3.426
80022	MYO15B	myosin XVB	-1.007	4.352	1.369	8.526
643008	SMIM5	small integral membrane protein 5	-1.519	4.247	2.459	11.49
100130933	SMIM6	small integral membrane protein 6	-1.139	2.98	1.792	7.49
2125	EVPL	envoplakin	1.1	3.051	-1.202	3.98
8877	SPHK1	sphingosine kinase 1	1.721	5.79	-1.858	7.389
146664	MGAT5B	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	-1.217	2.231	1.218	2.435
332	BIRC5	baculoviral IAP repeat containing 5	1.102	3.26	-1.3	4.893
84733	CBX2	chromobox 2	2.33	6.944	-2.738	10.374
102723961	LOC102723961		2.132	3.951	-2.448	5.668
101928766	LINC01979	long intergenic non-protein coding RNA 1979	2.278	6.54	-2.36	7.71
101928738	LINC01978	long intergenic non-protein coding RNA 1978	2.565	5.756	-2.676	6.887
125058	TBC1D16	TBC1 domain family member 16	1.141	7.234	-1.482	13.222
92659	MILIP	MYC inducible lncRNA inactivating p53	2.112	9.306	-2.35	12.696
5831	PYCR1	pyrroline-5-carboxylate reductase 1	1.262	4.196	-1.288	4.841
255275	MYADML2	myeloid associated differentiation marker like 2	2.578	3.569	-2.965	5.123
147111	NOTUM	notum, palmitoleoyl-protein carboxylesterase	4.567	7.872	-6.415	17.014
924	CD7	CD7 molecule	-1.284	3.67	1.559	5.802
6398	SECTM1	secreted and transmembrane 1	-1.38	2.429	2.553	8.222
100505592	GAPLINC	gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA	1.181	2.354	-1.343	3.26
84777	DLGAP1-AS2	DLGAP1 antisense RNA 2	1.295	3.002	-1.478	4.236
23136	EPB41L3	erythrocyte membrane protein band 4.1 like 3	-1.324	3.534	1.894	7.584
100286986	LOC100286986	atrophin-domain containing	-1.776	2.509	3.041	7.094
645369	TMEM200C	transmembrane protein 200C	1.497	2.737	-1.321	2.423
10650	PRELID3A	PRELI domain containing 3A	1.033	3.403	-1.188	4.882
80000	GREB1L	GREB1 like retinoic acid receptor coactivator	2.929	4.447	-3.403	6.529
171586	ABHD3	abhydrolase domain containing 3, phospholipase	-1.103	5.41	1.673	13.181
1825	DSC3	desmocollin 3	4.075	7.858	-3.819	7.726
147409	DSG4	desmoglein 4	1.86	5.69	-2.035	7.448
1830	DSG3	desmoglein 3	3.88	5.699	-3.977	6.612
54941	RNF125	ring finger protein 125	-1.01	2.1	1.206	3.165
4225	MEP1B	meprin A subunit beta	-2.631	3.325	3.733	6.954
6563	SLC14A1	solute carrier family 14 member 1 (Kidd blood group)	-1.215	4.028	1.612	7.378
201501	ZBTB7C	zinc finger and BTB domain containing 7C	-1.398	2.203	2.817	8.673
9388	LIPG	lipase G, endothelial type	1.149	4.589	-1.571	9.123
80323	CCDC68	coiled-coil domain containing 68	-1.474	4.182	2.068	8.676
5366	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1	1.517	7.353	-1.748	10.62
220441	RNF152	ring finger protein 152	-1.757	5.835	1.243	3.443
596	BCL2	BCL2 apoptosis regulator	-1.189	4.624	1.38	6.754
5268	SERPINB5	serpin family B member 5	2.484	3.643	-2.228	3.334
10272	FSTL3	follistatin like 3	1.45	3.592	-2.125	8.069
1675	CFD	complement factor D	-1.714	3.298	2.998	10.277
1820	ARID3A	AT-rich interaction domain 3A	1.702	5.332	-2.147	9.107
2788	GNG7	G protein subunit gamma 7	-1.764	5.168	1.881	6.453
126259	TMIGD2	transmembrane and immunoglobulin domain containing 2	-1.277	3.521	2.003	8.586
29128	UHRF1	ubiquitin like with PHD and ring finger domains 1	1.72	7.904	-1.731	8.879
257000	TINCR	TINCR ubiquitin domain containing	-1.717	2.356	3.31	8.456
8744	TNFSF9	TNF superfamily member 9	2.071	3.473	-2.442	5.22
374877	TEX45	testis expressed 45	1.579	3.485	-1.396	3.103
2208	FCER2	Fc epsilon receptor II	-1.609	2.628	2.718	7.364
80164	PRR36	proline rich 36	2.068	3.025	-2.052	3.318
80131	LRRC8E	leucine rich repeat containing 8 VRAC subunit E	1.86	6.311	-2.025	8.176
147841	SPC24	SPC24 component of NDC80 kinetochore complex	1.069	3.08	-1.168	4.011
10535	RNASEH2A	ribonuclease H2 subunit A	1.186	5.105	-1.29	6.615
773	CACNA1A	calcium voltage-gated channel subunit alpha1 A	-1.234	2.071	2.568	8.392
65249	ZSWIM4	zinc finger SWIM-type containing 4	1.129	7.088	-1.124	7.748
342979	PALM3	paralemmin 3	1.642	2.343	-2.956	7.532
388512	CLEC17A	C-type lectin domain containing 17A	-1.272	2.148	1.725	3.996
4854	NOTCH3	notch receptor 3	1.394	4.37	-1.289	4.216
66002	CYP4F12	cytochrome P450 family 4 subfamily F member 12	-1.041	3.433	1.092	4.169
388514	CYP4F24P	cytochrome P450 family 4 subfamily F member 24, pseudogene	-1.523	2.466	2.587	6.867
652995	UCA1	urothelial cancer associated 1	3.402	5.353	-3.115	5.046
80726	IQCN	IQ motif containing N	-1.613	3.781	2.624	10.064
105372300	LOC105372300	uncharacterized LOC105372300	-1.195	3.306	1.668	6.287
9518	GDF15	growth differentiation factor 15	1.982	6.659	-2.22	9.088
100422943	MIR3189	microRNA 3189	1.614	2.421	-1.437	2.17
1311	COMP	cartilage oligomeric matrix protein	5.463	8.831	-6.106	12.147
148113	CILP2	cartilage intermediate layer protein 2	3.054	8.114	-3.23	9.993
84306	PDCD2L	programmed cell death 2 like	1.044	6.564	-1.231	9.856
53827	FXYD5	FXYD domain containing ion transport regulator 5	1.266	3.667	-1.622	6.425
933	CD22	CD22 molecule	-1.636	4.375	2.097	7.659
284403	WDR62	WD repeat domain 62	1.199	3.755	-1.413	5.64
57828	CATSPERG	cation channel sperm associated auxiliary subunit gamma	-1.081	2.797	1.398	4.867
399473	SPRED3	sprouty related EVH1 domain containing 3	1.302	3.561	-1.528	5.309
11184	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	-1.202	3.848	1.162	4.026
105372397	MAP4K1-AS1	MAP4K1 antisense RNA 1	-1.315	4.806	1.165	4.283
